 solc,ncperr,disterr
 187,      0.00127381,      0.00004460
 188,      0.00126587,      0.00004434
 189,      0.00125802,      0.00004407
 190,      0.00125026,      0.00004381
 191,      0.00124258,      0.00004355
 192,      0.00123500,      0.00004330
 193,      0.00122750,      0.00004304
 194,      0.00122008,      0.00004279
 195,      0.00121274,      0.00004255
 196,      0.00120549,      0.00004230
 197,      0.00119832,      0.00004206
 198,      0.00119123,      0.00004182
 199,      0.00118421,      0.00004158
 200,      0.00117727,      0.00004135
 201,      0.00117040,      0.00004112
 202,      0.00116361,      0.00004089
 203,      0.00115689,      0.00004066
 204,      0.00115025,      0.00004043
 205,      0.00114367,      0.00004021
 206,      0.00113716,      0.00003999
 207,      0.00113073,      0.00003977
 208,      0.00112436,      0.00003956
 209,      0.00111805,      0.00003935
 210,      0.00111181,      0.00003913
 211,      0.00110564,      0.00003893
 212,      0.00109952,      0.00003872
 213,      0.00109347,      0.00003851
 214,      0.00108749,      0.00003831
 215,      0.00108156,      0.00003811
 216,      0.00107569,      0.00003791
 217,      0.00106988,      0.00003771
 218,      0.00106413,      0.00003752
 219,      0.00105844,      0.00003733
 220,      0.00105280,      0.00003714
 221,      0.00104722,      0.00003695
 222,      0.00104169,      0.00003676
 223,      0.00103622,      0.00003657
 224,      0.00103080,      0.00003639
 225,      0.00102543,      0.00003621
 226,      0.00102011,      0.00003603
 227,      0.00101485,      0.00003585
 228,      0.00100963,      0.00003567
 229,      0.00100447,      0.00003549
 230,      0.00099935,      0.00003532
