case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 45.09, 38.50,  6.59
    0,    5,    2,    1, 62.26, 49.43, 47.64,  1.78
    0,    5,    2,    1, 38.84, 49.16, 47.64,  1.52
    0,    5,    2,    1, 32.24, 49.09, 47.64,  1.45
    0,    5,    2,    1, 26.33, 49.03, 47.64,  1.38
    0,    5,    2,    1,  8.16, 48.82, 47.64,  1.18
    0,    5,    2,    1,  3.04, 48.77, 47.64,  1.12
    1,    1,    1,    1,200.00, 56.93, 44.54, 12.39
    4,    1,    1,    1,200.00, 47.05, 44.27,  2.78
    5,    1,    1,    1,200.00, 47.05, 41.22,  5.83
    6,    1,    1,    1,200.00, 47.05, 39.69,  7.36
    8,    1,    1,    1,200.00, 43.76, 41.54,  2.22
    9,    1,    1,    1,200.00, 43.76, 40.11,  3.65
   11,    1,    1,    1,200.00, 42.11, 41.79,  0.33
   11,    1,    1,    1,167.35, 42.04, 41.79,  0.25
   11,    1,    1,    1,159.06, 42.02, 41.79,  0.23
   11,    1,    1,    1,151.90, 42.00, 41.79,  0.22
   11,    1,    1,    1,144.77, 41.99, 41.79,  0.20
   11,    1,    1,    1,138.63, 41.97, 41.79,  0.19
   11,    1,    1,    1,132.51, 41.96, 41.79,  0.17
   11,    1,    1,    1,127.23, 41.95, 41.79,  0.16
   11,    1,    1,    1,121.97, 41.93, 41.79,  0.15
   11,    1,    1,    1,117.44, 41.92, 41.79,  0.14
   11,    1,    1,    1,112.93, 41.91, 41.79,  0.13
   11,    1,    1,    1,109.04, 41.90, 41.79,  0.12
   11,    1,    1,    1,105.16, 41.89, 41.79,  0.11
   11,    1,    1,    1,101.82, 41.89, 41.79,  0.10
   11,    1,    1,    1, 98.49, 41.88, 41.79,  0.09
   11,    1,    1,    1, 95.62, 41.87, 41.79,  0.09
   11,    1,    1,    1, 92.76, 41.87, 41.79,  0.08
   11,    1,    1,    1, 90.29, 41.86, 41.79,  0.07
   11,    1,    1,    1, 87.84, 41.85, 41.79,  0.07
   11,    1,    1,    1, 85.72, 41.85, 41.79,  0.06
   11,    1,    1,    1, 83.61, 41.85, 41.79,  0.06
